,v1,v2
2299,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
1644,ham,India have to take lead:)
1169,ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
288,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
2161,ham,Is she replying. Has boye changed his phone number
2667,ham,Why de. You looking good only:-)..
4816,ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
1649,ham,ITS A LAPTOP TAKE IT WITH YOU.
3388,ham,O. Guess they both got screwd
1730,ham,Doing project w frens lor. 
2081,ham,I'm aight. Wat's happening on your side.
2934,ham,"Yeah, we got one lined up for us"
2438,ham,I not busy juz dun wan 2 go so early.. Hee.. 
589,ham,"I'm in a meeting, call me later at"
3623,ham,No message..no responce..what happend?
3820,ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
3836,ham,Early bird! Any purchases yet?
4662,ham,No. Yes please. Been swimming?
4817,ham,How's ur paper?
2875,ham,Fuck cedar key and fuck her (come over anyway tho)
862,ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
738,ham,Wish i were with you now!
2717,ham,Okie.. Thanx..
4224,ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
5443,spam,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
899,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
4295,spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you
1003,ham,&lt;#&gt;  am I think? Should say on syllabus
1642,ham,Sleeping nt feeling well
552,ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
5434,ham,Jesus armand really is trying to tell everybody he can find
4846,ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
5498,ham,Why did I wake up on my own &gt;:(
1849,ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
2391,ham,PICK UR FONE UP NOW U DUMB?
3242,ham,Pls accept me for one day. Or am begging you change the number.
4493,ham,Man this bus is so so so slow. I think you're gonna get there before me
3544,ham,Thank You meet you monday
1102,ham,Black shirt n blue jeans... I thk i c Ì_...
3287,spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p "
5444,ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
2054,ham,Y so late but i need to go n get da laptop...
908,ham,WHITE FUDGE OREOS ARE IN STORES
4283,ham,Yes. I come to nyc for audiitions and am trying to relocate.
210,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
4583,ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
653,ham,Fine i miss you very much.
3960,ham,Your dad is back in ph?
531,ham,What Today-sunday..sunday is holiday..so no work..
793,ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
1832,ham,What time is ur flight tmr?
461,ham,Great. Never been better. Each day gives even more reasons to thank God
789,ham,Gud mrng dear hav a nice day
4136,ham,Just got to  &lt;#&gt;
5139,ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
3644,spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp å£1.50/msg.
4758,spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082
2846,spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
404,ham,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
4008,ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
4975,ham,You are gorgeous! keep those pix cumming :) thank you!
3852,ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
3527,spam,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
1872,ham,Oh ok i didnt know what you meant. Yep i am baby jontin
121,ham,here is my new address -apples&pairs&all that malarky
3408,ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! "
516,spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
1659,ham,"Yeah, where's your class at?"
796,spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
4936,ham,G wants to know where the fuck you are
3416,ham,But i haf enuff space got like 4 mb...
4822,ham,:-) :-)
696,ham,"Aight, you close by or still down around alex's place?"
5160,ham,Ok... Then r we meeting later?
2026,ham,"Nah man, my car is meant to be crammed full of people"
3110,ham,Short But Cute : \ Be a good person 
5400,ham,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!ö´Ó_??Û¬ud evening...
3750,ham,"Haha... Sounds crazy, dunno can tahan anot..."
1570,ham,No:-)i got rumour that you going to buy apartment in chennai:-)
644,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week
1839,ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
5504,ham,Wait . I will msg after  &lt;#&gt;  min.
357,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
205,ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
1899,ham,I love working from home :)
5275,ham,Oh yeah clearly it's my fault
3468,ham,All day working day:)except saturday and sunday..
5183,ham,"Fuuuuck I need to stop sleepin, sup"
4211,spam,Missed call alert. These numbers called but left no message. 07008009200
3902,ham,Waiting in e car 4 my mum lor. U leh? Reach home already?
5489,ham,Oh thanks a lot..i already bought 2 eggs ..
3637,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
1534,ham,Remember on that day..
3248,ham,"Sorry, I can't help you on this."
842,ham,Our Prashanthettan's mother passed away last night. pray for her and family.
4334,ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
2219,spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
1749,ham,DO NOT B LATE LOVE MUM
3574,ham,And do you have any one that can teach me how to ship cars.
1465,spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
3990,ham,I am on the way to ur home
4367,ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
4808,ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
4303,ham,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?"
2145,spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
108,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
1569,ham,I dont have that much image in class.
728,ham,Exactly. Anyways how far. Is jide her to study or just visiting
2209,ham,"Hmm well, night night "
3534,ham,I'm at home. Please call
3498,ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX
1474,ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
4165,ham,Well if I'm that desperate I'll just call armand again
2346,ham,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different
3843,ham,"Yeah that's what I thought, lemme know if anything's goin on later"
4399,ham,Juz go google n search 4 qet...
4838,ham,That's one of the issues but california is okay. No snow so its manageable
1629,ham,Sounds like you have many talents! would you like to go on a dinner date next week?
1868,ham,Today my system sh get ready.all is well and i am also in the deep well
440,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
3007,spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
676,ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
1898,ham,Wat would u like 4 ur birthday?
2572,ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
4744,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
4538,ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
3553,ham,am up to my eyes in philosophy
4375,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
5016,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
3866,ham,"Alright we're hooked up, where you guys at"
1981,ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; "
3031,ham,Jokin only lar... :-) depends on which phone my father can get lor...
3651,ham,"Probably not, still going over some stuff here"
